Movie,Release Date,Distributor,Genre,MPAA,Tickets Sold
"1,000 Rupee Note",9/23/16,Kino Lorber,Drama,Not Rated,277
10 Cloverfield Lane,3/11/16,Paramount Pictures,Thriller/Suspense,PG-13,"8,333,294"
13 Hours: The Secret Soldiers of Benghazi,1/15/16,Paramount Pictures,Drama,R,"6,110,198"
2016 Oscar Shorts,1/29/16,ShortsHD,Multiple Genres,Not Rated,"325,643"
20th Century Women,12/25/16,A24,Drama,R,"20,644"
3 Weeks in Yerevan,9/16/16,Richmond Media Entertainment,Comedy,Not Rated,"3,380"
A Aa,6/1/16,Bluesky Cinemas,Romantic Comedy,Not Rated,"267,403"
A Beautiful Now,9/2/16,Monterey Media,Drama,R,198
A Beautiful Planet,4/29/16,Walt Disney,Documentary,G,"912,798"
A Bigger Splash,5/4/16,Fox Searchlight,Drama,R,"233,999"
A Bit of Bad Luck,5/13/16,Indican Pictures,Comedy,Not Rated,"2,091"
A Hologram for the King,4/22/16,Roadside Attractions,Drama,R,"486,993"
A Kind of Murder,12/16/16,Magnolia Pictures,Thriller/Suspense,R,336
A Man Called Ove,9/30/16,Music Box Films,Comedy,PG-13,"385,665"
A Melody to Remember,1/29/16,CJ Entertainment,Drama,Not Rated,"4,837"
A Monster with a Thousand Heads,5/13/16,Music Box Films,Thriller/Suspense,Not Rated,"2,873"
A Perfect Day,1/15/16,IFC Films,Drama,R,578
A Small Good Thing,8/19/16,Kino Lorber,Documentary,Not Rated,138
A Space Program,3/18/16,Zeitgeist,Documentary,Not Rated,"1,588"
A Street Cat Named Bob,11/18/16,Cleopatra Films,Drama,Not Rated,"9,561"
A Tale of Love and Darkness,8/19/16,Focus World,Drama,PG-13,"66,151"
A War,2/12/16,Magnolia Pictures,Drama,R,"14,208"
Absolutely Fabulous: The Movie,7/22/16,Fox Searchlight,Comedy,R,"551,694"
Ae Dil Hai Mushkil,10/28/16,FIP,Drama,Not Rated,"493,061"
Aferim!,1/22/16,Big World Pictures,Black Comedy,Not Rated,"12,498"
Against the Wild: Survive the Serengeti,2/26/16,Anchor Bay Entertainment,Adventure,PG,"12,480"
Alice Through the Looking Glass,5/27/16,Walt Disney,Adventure,PG,"8,906,633"
Allied,11/23/16,Paramount Pictures,Drama,R,"4,577,912"
Almost Christmas,11/11/16,Universal,Drama,PG-13,"4,855,815"
Almost Holy,5/20/16,The Orchard,Documentary,R,"2,444"
Always Shine,11/25/16,Oscilloscope Pictures,Thriller/Suspense,Not Rated,"1,865"
American Honey,9/30/16,A24,Drama,R,"76,675"
American Pastoral,10/21/16,Lionsgate,Drama,R,"62,901"
Among the Believers,9/30/16,First Run Features,Documentary,Not Rated,484
An Eye for Beauty,4/15/16,Monument Releasing,Drama,Not Rated,"1,086"
Anesthesia,1/8/16,IFC Films,Drama,R,"3,098"
Angry Indian Goddess,8/5/16,Mongrel Media,Comedy,Not Rated,"2,681"
Anonymous,12/2/16,Archstone Entertainment,Drama,R,"1,299"
Anthropoid,8/12/16,Bleecker Street,Thriller/Suspense,R,"342,616"
Approaching the Unknown,6/3/16,Vertical Entertainment,Drama,R,"1,182"
April and the Extraordinary World,3/25/16,GKIDS,Adventure,PG,"34,160"
Aquarius,10/14/16,Vitagraph Films,Drama,Not Rated,"33,055"
Argentina,6/17/16,First Run Features,Documentary,Not Rated,"1,718"
Arrival,11/11/16,Paramount Pictures,Drama,PG-13,"10,657,998"
Art Bastard,6/3/16,CAVU Releasing,Documentary,Not Rated,"2,265"
As I Open My Eyes,9/9/16,Kino Lorber,Drama,Not Rated,"3,582"
Assassinís Creed,12/21/16,20th Century Fox,Action,PG-13,"4,209,846"
Asura: The City of Madness,10/7/16,CJ Entertainment,Action,Not Rated,"20,173"
Author: The JT LeRoy Story,9/9/16,Magnolia Pictures,Documentary,R,"9,942"
Auto Shop of Horrors,9/23/16,Driving With Our Eyes Shut,Comedy,Not Rated,497
Baaghi,4/29/16,UTV Communications,Romantic Comedy,Not Rated,"50,659"
Baar Baar Dekho,9/9/16,Eros Entertainment,Drama,Not Rated,"113,519"
Bad Moms,7/29/16,STX Entertainment,Comedy,R,"13,093,329"
Bad Santa 2,11/23/16,Broad Green Pictures,Comedy,R,"2,049,222"
Band of Robbers,1/15/16,Gravitas Ventures,Adventure,Not Rated,"2,376"
Banjo,9/23/16,Eros Entertainment,Action,Not Rated,"2,906"
Barbershop: The Next Cut,4/15/16,Warner Bros.,Comedy,PG-13,"6,246,249"
Batman v Superman: Dawn of Justice,3/25/16,Warner Bros.,Action,PG-13,"38,191,930"
Batman: The Killing Joke,7/25/16,Fathom Events,Action,R,"436,416"
Behind the White Glasses: Portrait of Lina Wertmuller,3/4/16,Parade Deck Films,Documentary,Not Rated,790
Being 17,10/7/16,Strand,Drama,Not Rated,"6,093"
Being Charlie,5/6/16,Paladin,Drama,R,"3,514"
Believe,12/2/16,Smith Global Media,Drama,PG,"102,812"
Ben-Hur,8/19/16,Paramount Pictures,Drama,PG-13,"3,053,234"
Best and Most Beautiful Things,12/2/16,First Run Features,Documentary,Not Rated,348
Best Worst Thing That Ever Could Have Happened,11/18/16,Abramorama Films,Documentary,Not Rated,"11,818"
Beta Test,7/22/16,Mirror Images Ltd,Action,Not Rated,"1,168"
Billy Lynnís Long Halftime Walk,11/11/16,Sony Pictures,Drama,R,"200,980"
Blackway,6/10/16,Electric Entertainment,Thriller/Suspense,R,"3,130"
Blair Witch,9/16/16,Lionsgate,Horror,R,"2,401,972"
Bleed for This,11/18/16,Open Road,Drama,R,"587,734"
Blood on the Mountain,11/18/16,Abramorama Films,Documentary,Not Rated,539
Blue Jay,10/7/16,The Orchard,Drama,Not Rated,"2,500"
Boom Bust Boom,3/11/16,Brainstorm Media,Documentary,Not Rated,797
Born to Be Blue,3/4/16,IFC Films,Drama,R,"87,300"
Breaking a Monster,6/24/16,Abramorama Films,Documentary,Not Rated,486
Bridget Jonesís Baby,9/16/16,Universal,Romantic Comedy,R,"2,790,728"
Burning Bodhi,3/18/16,Monterey Media,Drama,R,380
Busco Novio Para Mi Mujer,2/19/16,Lionsgate,Romantic Comedy,PG-13,"201,374"
